GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Immutable Configurations,imconfig,ConfigurationException,5,8,0,0,2,4,1,2,1,2
Immutable Configurations,imconfig,PropertyDefinitionBuilder,7,120,0,0,2,31,1,17,1,17
Immutable Configurations,imconfig,PropertyDefinition,4,156,2,18,0,32,2,20,0,12
Immutable Configurations,imconfig,Configuration,6,2,0,0,1,1,1,1,1,1
Immutable Configurations,imconfig,ConfigurationFactory,11,48,1,3,3,11,1,3,0,2
Immutable Configurations,imconfig.types.internal,PropertyTypeFactory,33,66,3,11,9,16,3,7,0,3
Immutable Configurations,imconfig.internal,AbstractConfiguration,94,247,2,6,13,44,13,21,11,19
Immutable Configurations,imconfig.internal,ApacheConfiguration2,59,299,7,17,9,58,12,27,7,20
Immutable Configurations,imconfig.internal,PropertyDefinitionParser,29,76,0,2,5,16,1,5,1,4
Immutable Configurations,imconfig.internal,ApacheConfiguration2ConversionHandler,0,67,0,2,0,12,0,5,0,4
Immutable Configurations,imconfig.internal,ClasspathURLStreamHandler,6,30,2,2,1,9,2,2,0,2
Immutable Configurations,imconfig.internal,ApacheConfiguration2Factory,72,552,2,36,17,101,7,47,5,30
Immutable Configurations,imconfig.types,EnumPropertyType,5,31,2,2,1,7,2,4,0,4
Immutable Configurations,imconfig.types,TextPropertyType,2,37,1,7,0,7,1,8,0,5
Immutable Configurations,imconfig.types,BooleanPropertyType,2,17,0,4,1,3,1,5,1,3
Immutable Configurations,imconfig.types,DecimalPropertyType,12,93,4,22,3,21,5,12,1,3
Immutable Configurations,imconfig.types,IntegerPropertyType,10,95,4,22,2,22,4,13,0,4
